date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:29:00	56684/56684	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/images/image12.jpg	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/images/image12.jpg	(from https://mobirise.com/extensions/boldm5/tech-blog/)
12:29:01	52774/52774	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/images/image15.jpg	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/images/image15.jpg	(from https://mobirise.com/extensions/boldm5/tech-blog/)
12:29:02	20141/20141	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/images/image10.jpg	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/images/image10.jpg	(from https://mobirise.com/extensions/boldm5/tech-blog/)
12:29:03	78816/78816	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/images/image11.jpg	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/images/image11.jpg	(from https://mobirise.com/extensions/boldm5/tech-blog/)
12:29:04	123806/123806	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/images/image1.jpg	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/images/image1.jpg	(from https://mobirise.com/extensions/boldm5/tech-blog/)
12:29:05	126348/126348	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/images/image14.jpg	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/images/image14.jpg	(from https://mobirise.com/extensions/boldm5/tech-blog/)
12:29:06	50715/50715	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/images/image13.jpg	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/images/image13.jpg	(from https://mobirise.com/extensions/boldm5/tech-blog/)
12:29:06	78704/78704	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/bootstrap/js/bootstrap.bundle.min.js	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/bootstrap/js/bootstrap.bundle.min.js	(from https://mobirise.com/extensions/boldm5/tech-blog/)
12:29:07	38349/38349	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/parallax/jarallax.js	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/parallax/jarallax.js	(from https://mobirise.com/extensions/boldm5/tech-blog/)
12:29:08	24157/24157	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/smoothscroll/smooth-scroll.js	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/smoothscroll/smooth-scroll.js	(from https://mobirise.com/extensions/boldm5/tech-blog/)
12:29:08	26973/26973	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/ytplayer/index.js	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/ytplayer/index.js	(from https://mobirise.com/extensions/boldm5/tech-blog/)
12:29:09	3365/3365	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/dropdown/js/navbar-dropdown.js	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/dropdown/js/navbar-dropdown.js	(from https://mobirise.com/extensions/boldm5/tech-blog/)
12:29:09	2080/2080	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/mbr-tabs/mbr-tabs.js	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/mbr-tabs/mbr-tabs.js	(from https://mobirise.com/extensions/boldm5/tech-blog/)
12:29:10	67325/67325	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/theme/js/script.js	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/theme/js/script.js	(from https://mobirise.com/extensions/boldm5/tech-blog/)
12:29:11	25468/25468	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/web/assets/mobirise-icons2/mobirise2.eot?f2bix4	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/web/assets/mobirise-icons2/mobirise21e04.eot	(from https://mobirise.com/extensions/boldm5/tech-blog/assets/web/assets/mobirise-icons2/mobirise2.css)
12:29:12	25280/25280	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/web/assets/mobirise-icons2/mobirise2.ttf?f2bix4	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/web/assets/mobirise-icons2/mobirise21e04.ttf	(from https://mobirise.com/extensions/boldm5/tech-blog/assets/web/assets/mobirise-icons2/mobirise2.css)
12:29:12	25356/25356	---M--	200	added ('OK')	font/woff	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/web/assets/mobirise-icons2/mobirise2.woff?f2bix4	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/web/assets/mobirise-icons2/mobirise21e04.woff	(from https://mobirise.com/extensions/boldm5/tech-blog/assets/web/assets/mobirise-icons2/mobirise2.css)
12:29:13	72845/72845	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/web/assets/mobirise-icons2/mobirise2.svg?f2bix4	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/web/assets/mobirise-icons2/mobirise21e04.svg	(from https://mobirise.com/extensions/boldm5/tech-blog/assets/web/assets/mobirise-icons2/mobirise2.css)
12:29:15	116416/116416	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/socicon/fonts/socicon.eot	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/socicon/fonts/socicon.eot	(from https://mobirise.com/extensions/boldm5/tech-blog/assets/socicon/css/styles.css)
12:29:16	116416/116416	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/socicon/fonts/socicon.eot?	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/socicon/fonts/socicond41d.eot	(from https://mobirise.com/extensions/boldm5/tech-blog/assets/socicon/css/styles.css)
12:29:17	64512/64512	---M--	200	added ('OK')	font/woff2	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/socicon/fonts/socicon.woff2	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/socicon/fonts/socicon.woff2	(from https://mobirise.com/extensions/boldm5/tech-blog/assets/socicon/css/styles.css)
12:29:18	116252/116252	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/socicon/fonts/socicon.ttf	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/socicon/fonts/socicon.ttf	(from https://mobirise.com/extensions/boldm5/tech-blog/assets/socicon/css/styles.css)
12:29:19	116328/116328	---M--	200	added ('OK')	font/woff	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/socicon/fonts/socicon.woff	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/socicon/fonts/socicon.woff	(from https://mobirise.com/extensions/boldm5/tech-blog/assets/socicon/css/styles.css)
12:29:20	322884/322884	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/socicon/fonts/socicon.svg	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/socicon/fonts/socicon.svg	(from https://mobirise.com/extensions/boldm5/tech-blog/assets/socicon/css/styles.css)
12:29:21	268624/268624	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2015:17:28%20GMT	https://mobirise.com/extensions/boldm5/tech-blog/assets/images/background1.jpg	H:/Practice/Practice%201/mobirise.com/extensions/boldm5/tech-blog/assets/images/background1.jpg	(from https://mobirise.com/extensions/boldm5/tech-blog/assets/mobirise/css/mbr-additional.css)
